Date,MSCI World Sector Neutral Quality,S&P 500,MSCI Europe Small Cap Value Weighted,MSCI EMU,MSCI ACWI,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI Emerging Markets,MSCI World Momentum,S&P 500 Minimum Volatility,FTSE World Government Bond - Developed Markets,MSCI World
03/1996,,17640.28771416542,11362.792140692294,24599.513445050376,23059.588674429735,13540.766152496411,104972.38733269114,60788.45149146594,12485.053139478625,,20778.35773769586,102363.81708397646
04/1996,,18052.988686777917,11574.4476994852,25105.3859278615,23824.066071428573,14267.275748069498,106633.42547131359,63757.96071428572,12717.866750098248,,21208.361289813314,105642.96432969705
05/1996,,18743.208585179567,12000.694664169992,25713.95099202792,24137.996922575916,14924.678016771151,108760.92453488088,64243.23404705691,13132.974788103887,,21079.350357185143,106995.48450504799
06/1996,,18668.803072469545,11916.564837224332,25843.806938663132,24082.159722110027,14440.285069876407,109105.74339761668,64143.07386703287,13313.916637215883,,21057.386430911316,106681.28624976898
07/1996,,17572.862696743352,11530.687782020688,24911.883480073604,22830.45350835322,13238.349002386638,106101.99955782454,58851.26749403342,12596.975407693906,,20930.01341911039,101326.26425399985
08/1996,,17780.882700210288,11627.121553015373,24889.60824053569,22902.49305478912,13812.329958218372,108260.08095805989,59810.475206937335,12641.45925165533,,21035.71851442554,101540.89491783836
09/1996,,18944.463295734695,11624.701954516539,25856.365036982068,23954.05419847328,14420.1869163486,111496.07051562169,60851.492175572515,13327.359570115606,,21564.0466511426,106409.88365052524
10/1996,,19527.520175964382,11930.541580920477,26204.59406081327,24124.658722182343,14398.087142059505,114439.4166919883,59412.83632447954,13484.754045938007,,21647.44247543119,107464.91084963173
11/1996,,20733.968605105485,12141.972885039371,27285.48249308977,25088.199023622048,14848.566160629924,118695.34392100213,59633.02119685039,14090.28044021361,,22138.77925563405,112009.60295487122
12/1996,,20772.9511051641,12770.834428973845,28353.533881817595,25272.049400402415,15484.569646680082,123672.48856040399,61228.555895372236,14256.897172276182,,22041.974187946482,112633.6515287638
01/1997,,22671.04023865503,13353.250289351854,29568.584540082913,26394.930059523813,16305.599122023808,127380.89833442953,67183.88973214287,15315.152865274395,,22735.584323321626,117069.82555107116
02/1997,,23844.209246047823,14077.24784574239,31010.021015925304,27920.459839530668,16885.11352256061,134687.22157084514,73113.50413251661,16038.971812963026,,23177.517069897778,123552.63828839756
